2023-03-14 03:58:29
alpha: 1    batchsize: 64    dim: 128    epoch: 1000    gapMax_defi: -1    gapMax_prim: -0.5    lambdaMax: 2    learningrate: 0.002    lrdecay: 1    lrdecayEpoch: 250    modelname: SN2E    momentum: 0    negtsamplenum: 1000    optimizer: Adam    vmax: 100    vmin: 0.01    weightdecay: 0    
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 0
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/1000 [00:00<?, ?it/s]
  0%|          | 0/1000 [00:10<?, ?it/s]
Epoch 5 | postive loss : 21038.14, negtive prim loss : 1864.75, negtive defi loss : 2229.62, worst lambd: 40420.70, worst prim gap: 197.74, worst defi gap: 251.95:   1%|          | 6/1000 [01:03<2:55:57, 10.62s/it]
Epoch 11 | postive loss : 11047.14, negtive prim loss : 1541.78, negtive defi loss : 1849.48, worst lambd: 25568.24, worst prim gap: 16.10, worst defi gap: 38.34:   1%|          | 12/1000 [02:07<2:54:26, 10.59s/it]
Epoch 17 | postive loss : 7335.59, negtive prim loss : 1282.89, negtive defi loss : 1552.12, worst lambd: 19162.48, worst prim gap: 1.50, worst defi gap: 2.03:   2%|▏         | 18/1000 [03:10<2:53:17, 10.59s/it]   
Epoch 23 | postive loss : 5368.73, negtive prim loss : 1070.85, negtive defi loss : 1310.40, worst lambd: 14686.09, worst prim gap: 0.55, worst defi gap: 0.68:   2%|▏         | 24/1000 [04:14<2:52:04, 10.58s/it]
Epoch 29 | postive loss : 4064.76, negtive prim loss : 895.64, negtive defi loss : 1109.71, worst lambd: 11371.80, worst prim gap: 0.35, worst defi gap: 0.28:   3%|▎         | 30/1000 [05:17<2:50:52, 10.57s/it] 
Epoch 35 | postive loss : 3100.67, negtive prim loss : 751.38, negtive defi loss : 945.40, worst lambd: 8617.02, worst prim gap: 0.16, worst defi gap: 0.15:   4%|▎         | 36/1000 [06:20<2:49:56, 10.58s/it]  
Epoch 41 | postive loss : 2367.82, negtive prim loss : 632.63, negtive defi loss : 813.92, worst lambd: 6520.82, worst prim gap: 0.08, worst defi gap: 0.08:   4%|▍         | 42/1000 [07:24<2:48:48, 10.57s/it]
Epoch 47 | postive loss : 1818.18, negtive prim loss : 535.41, negtive defi loss : 708.52, worst lambd: 5184.97, worst prim gap: 0.03, worst defi gap: 0.03:   5%|▍         | 48/1000 [08:27<2:47:52, 10.58s/it]
Epoch 53 | postive loss : 1410.17, negtive prim loss : 454.42, negtive defi loss : 620.30, worst lambd: 4114.46, worst prim gap: 0.01, worst defi gap: 0.01:   5%|▌         | 54/1000 [09:31<2:47:00, 10.59s/it]
Epoch 59 | postive loss : 1097.47, negtive prim loss : 386.38, negtive defi loss : 544.64, worst lambd: 3254.38, worst prim gap: 0.00, worst defi gap: 0.00:   6%|▌         | 60/1000 [10:35<2:45:58, 10.59s/it]
Epoch 65 | postive loss : 852.43, negtive prim loss : 329.07, negtive defi loss : 479.64, worst lambd: 2562.10, worst prim gap: 0.00, worst defi gap: 0.01:   7%|▋         | 66/1000 [11:38<2:44:59, 10.60s/it] 
Epoch 71 | postive loss : 659.46, negtive prim loss : 280.95, negtive defi loss : 423.47, worst lambd: 1971.31, worst prim gap: 0.00, worst defi gap: 0.01:   7%|▋         | 72/1000 [12:42<2:43:53, 10.60s/it]
Epoch 77 | postive loss : 507.37, negtive prim loss : 240.16, negtive defi loss : 374.19, worst lambd: 1512.97, worst prim gap: 0.00, worst defi gap: 0.00:   8%|▊         | 78/1000 [13:46<2:42:51, 10.60s/it]
Epoch 83 | postive loss : 388.01, negtive prim loss : 205.34, negtive defi loss : 330.25, worst lambd: 1156.20, worst prim gap: 0.00, worst defi gap: 0.00:   8%|▊         | 84/1000 [14:49<2:41:49, 10.60s/it]
Epoch 89 | postive loss : 294.60, negtive prim loss : 175.39, negtive defi loss : 290.80, worst lambd: 874.19, worst prim gap: 0.00, worst defi gap: 0.00:   9%|▉         | 90/1000 [15:53<2:40:36, 10.59s/it] 
Epoch 95 | postive loss : 222.03, negtive prim loss : 149.39, negtive defi loss : 254.89, worst lambd: 652.91, worst prim gap: 0.00, worst defi gap: 0.00:  10%|▉         | 96/1000 [16:56<2:39:27, 10.58s/it]
Epoch 101 | postive loss : 165.87, negtive prim loss : 126.68, negtive defi loss : 222.09, worst lambd: 482.77, worst prim gap: 0.00, worst defi gap: 0.00:  10%|█         | 102/1000 [17:59<2:38:19, 10.58s/it]
Epoch 107 | postive loss : 122.80, negtive prim loss : 106.91, negtive defi loss : 192.18, worst lambd: 361.67, worst prim gap: 0.00, worst defi gap: 0.01:  11%|█         | 108/1000 [19:03<2:37:12, 10.57s/it]
Epoch 113 | postive loss : 90.29, negtive prim loss : 89.58, negtive defi loss : 164.85, worst lambd: 274.24, worst prim gap: 0.00, worst defi gap: 0.00:  11%|█▏        | 114/1000 [20:06<2:36:06, 10.57s/it]  
Epoch 119 | postive loss : 66.24, negtive prim loss : 74.53, negtive defi loss : 139.85, worst lambd: 202.29, worst prim gap: 0.00, worst defi gap: 0.00:  12%|█▏        | 120/1000 [21:10<2:35:04, 10.57s/it]
Epoch 125 | postive loss : 48.65, negtive prim loss : 61.44, negtive defi loss : 117.30, worst lambd: 148.49, worst prim gap: 0.00, worst defi gap: 0.01:  13%|█▎        | 126/1000 [22:13<2:33:58, 10.57s/it]
Epoch 131 | postive loss : 35.33, negtive prim loss : 50.14, negtive defi loss : 97.35, worst lambd: 106.75, worst prim gap: 0.00, worst defi gap: 0.01:  13%|█▎        | 132/1000 [23:16<2:32:56, 10.57s/it] 
Epoch 137 | postive loss : 25.67, negtive prim loss : 40.52, negtive defi loss : 79.90, worst lambd: 75.82, worst prim gap: 0.00, worst defi gap: 0.07:  14%|█▍        | 138/1000 [24:20<2:31:52, 10.57s/it] 
Epoch 143 | postive loss : 18.45, negtive prim loss : 32.27, negtive defi loss : 64.59, worst lambd: 53.57, worst prim gap: 0.00, worst defi gap: 0.04:  14%|█▍        | 144/1000 [25:23<2:30:49, 10.57s/it]
Epoch 149 | postive loss : 13.73, negtive prim loss : 25.34, negtive defi loss : 51.40, worst lambd: 37.52, worst prim gap: 0.00, worst defi gap: 0.05:  15%|█▌        | 150/1000 [26:27<2:29:45, 10.57s/it]
Epoch 155 | postive loss : 10.22, negtive prim loss : 19.70, negtive defi loss : 40.36, worst lambd: 26.07, worst prim gap: 0.00, worst defi gap: 0.03:  16%|█▌        | 156/1000 [27:30<2:28:40, 10.57s/it]
