alpha: 0.1    batchsize: 128    dim: 64    epoch: 500    gapMax: -5    lambdaMax: 0.5    learningrate: 0.075    lrdecay: 1    lrdecayEpoch: 250    modelname: SN2E    momentum: 0    negtsamplenum: 100    optimizer: SGD    vmax: 10    vmin: 0.1    weightdecay: 0    
the validation begin
set learningrate with 0.1  ----------------------------------------------------------------------
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 1
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/500 [00:00<?, ?it/s]
Epoch 0 | postive loss : 85.63, negtive loss : 2650.52, worst lambd: 1111.48, worst gap: 0.40:   0%|          | 0/500 [00:08<?, ?it/s]
Epoch 1 | postive loss : 84.27, negtive loss : 2597.39, worst lambd: 1111.48, worst gap: 0.40:   0%|          | 0/500 [00:14<?, ?it/s]
Epoch 1 | postive loss : 84.27, negtive loss : 2597.39, worst lambd: 1111.48, worst gap: 0.40:   0%|          | 0/500 [00:19<?, ?it/s]
Epoch 2 | postive loss : 82.16, negtive loss : 2532.25, worst lambd: 1111.48, worst gap: 0.37:   0%|          | 0/500 [00:20<?, ?it/s]
Epoch 3 | postive loss : 80.15, negtive loss : 2481.42, worst lambd: 1111.48, worst gap: 0.37:   0%|          | 0/500 [00:26<?, ?it/s]
Epoch 4 | postive loss : 78.41, negtive loss : 2430.71, worst lambd: 1111.48, worst gap: 0.37:   0%|          | 0/500 [00:33<?, ?it/s]
Epoch 5 | postive loss : 76.84, negtive loss : 2384.75, worst lambd: 1111.48, worst gap: 0.37:   0%|          | 0/500 [00:39<?, ?it/s]
Epoch 6 | postive loss : 75.15, negtive loss : 2337.15, worst lambd: 1111.48, worst gap: 0.37:   0%|          | 0/500 [00:45<?, ?it/s]
Epoch 7 | postive loss : 73.48, negtive loss : 2291.56, worst lambd: 1111.48, worst gap: 0.37:   0%|          | 0/500 [00:51<?, ?it/s]
Epoch 8 | postive loss : 72.03, negtive loss : 2248.15, worst lambd: 1111.48, worst gap: 0.37:   0%|          | 0/500 [00:57<?, ?it/s]
Epoch 9 | postive loss : 70.37, negtive loss : 2201.79, worst lambd: 1111.48, worst gap: 0.37:   0%|          | 0/500 [01:03<?, ?it/s]
Epoch 9 | postive loss : 70.37, negtive loss : 2201.79, worst lambd: 1111.48, worst gap: 0.37:   2%|▏         | 10/500 [01:03<52:13,  6.40s/it]
Epoch 10 | postive loss : 68.67, negtive loss : 2152.89, worst lambd: 1111.48, worst gap: 0.37:   2%|▏         | 10/500 [01:10<52:13,  6.40s/it]
Epoch 11 | postive loss : 67.32, negtive loss : 2106.90, worst lambd: 1111.48, worst gap: 0.37:   2%|▏         | 10/500 [01:16<52:13,  6.40s/it]
Epoch 12 | postive loss : 65.60, negtive loss : 2061.89, worst lambd: 1111.48, worst gap: 0.37:   2%|▏         | 10/500 [01:22<52:13,  6.40s/it]
Epoch 13 | postive loss : 64.14, negtive loss : 2018.42, worst lambd: 1111.48, worst gap: 0.37:   2%|▏         | 10/500 [01:28<52:13,  6.40s/it]
Epoch 14 | postive loss : 62.67, negtive loss : 1972.86, worst lambd: 1111.48, worst gap: 0.37:   2%|▏         | 10/500 [01:34<52:13,  6.40s/it]
Epoch 15 | postive loss : 61.20, negtive loss : 1930.18, worst lambd: 1111.48, worst gap: 0.14:   2%|▏         | 10/500 [01:41<52:13,  6.40s/it]
Epoch 16 | postive loss : 59.72, negtive loss : 1887.30, worst lambd: 1111.48, worst gap: 0.14:   2%|▏         | 10/500 [01:47<52:13,  6.40s/it]
Epoch 17 | postive loss : 58.32, negtive loss : 1846.12, worst lambd: 1111.48, worst gap: 0.14:   2%|▏         | 10/500 [01:53<52:13,  6.40s/it]
Epoch 18 | postive loss : 57.02, negtive loss : 1807.64, worst lambd: 1111.48, worst gap: 0.14:   2%|▏         | 10/500 [01:59<52:13,  6.40s/it]
Epoch 19 | postive loss : 55.60, negtive loss : 1767.47, worst lambd: 1111.48, worst gap: 0.14:   2%|▏         | 10/500 [02:05<52:13,  6.40s/it]
