2023-03-13 11:05:58
alpha: 0.1    batchsize: 128    dim: 64    epoch: 500    gapMax_defi: -1    gapMax_prim: -0.5    lambdaMax: 0.5    learningrate: 0.002    lrdecay: 1    lrdecayEpoch: 250    modelname: SN2E    momentum: 0    negtsamplenum: 100    optimizer: Adam    vmax: 100    vmin: 0.01    weightdecay: 0    
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 0
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/500 [00:00<?, ?it/s]
Epoch 9 | postive loss : 10588.87, negtive prim loss : 895.72, negtive defi loss : 1081.28, worst lambd: 19793.73, worst prim gap: 151.93, worst defi gap: 168.34:   2%|▏         | 10/500 [00:18<15:20,  1.88s/it]
Epoch 15 | postive loss : 6743.02, negtive prim loss : 782.55, negtive defi loss : 946.60, worst lambd: 14193.17, worst prim gap: 41.46, worst defi gap: 57.73:   2%|▏         | 10/500 [00:30<15:20,  1.88s/it]   
Epoch 16 | postive loss : 6317.60, negtive prim loss : 765.29, negtive defi loss : 926.54, worst lambd: 13732.37, worst prim gap: 33.78, worst defi gap: 46.22:   3%|▎         | 17/500 [00:31<15:00,  1.86s/it]
Epoch 17 | postive loss : 5933.98, negtive prim loss : 748.61, negtive defi loss : 906.12, worst lambd: 13242.30, worst prim gap: 19.65, worst defi gap: 42.33:   4%|▎         | 18/500 [00:33<14:58,  1.86s/it]
Epoch 18 | postive loss : 5587.55, negtive prim loss : 732.55, negtive defi loss : 887.66, worst lambd: 12541.05, worst prim gap: 28.95, worst defi gap: 34.28:   4%|▍         | 19/500 [00:35<14:55,  1.86s/it]
Epoch 19 | postive loss : 5273.29, negtive prim loss : 716.56, negtive defi loss : 869.47, worst lambd: 12249.02, worst prim gap: 21.60, worst defi gap: 32.30:   4%|▍         | 20/500 [00:37<14:52,  1.86s/it]
Epoch 20 | postive loss : 4988.65, negtive prim loss : 700.92, negtive defi loss : 850.95, worst lambd: 11843.47, worst prim gap: 19.91, worst defi gap: 26.28:   4%|▍         | 21/500 [00:39<14:50,  1.86s/it]
Epoch 21 | postive loss : 4729.49, negtive prim loss : 686.27, negtive defi loss : 832.70, worst lambd: 11262.41, worst prim gap: 12.92, worst defi gap: 13.51:   4%|▍         | 22/500 [00:41<14:47,  1.86s/it]
Epoch 22 | postive loss : 4492.32, negtive prim loss : 671.28, negtive defi loss : 816.84, worst lambd: 10984.69, worst prim gap: 10.24, worst defi gap: 15.85:   5%|▍         | 23/500 [00:42<14:45,  1.86s/it]
Epoch 23 | postive loss : 4275.58, negtive prim loss : 657.16, negtive defi loss : 799.69, worst lambd: 10485.03, worst prim gap: 12.97, worst defi gap: 13.25:   5%|▍         | 24/500 [00:44<14:41,  1.85s/it]
Epoch 24 | postive loss : 4076.89, negtive prim loss : 642.78, negtive defi loss : 783.47, worst lambd: 10145.88, worst prim gap: 6.70, worst defi gap: 13.49:   5%|▌         | 25/500 [00:46<14:38,  1.85s/it] 
Epoch 25 | postive loss : 3893.47, negtive prim loss : 629.31, negtive defi loss : 766.87, worst lambd: 9762.66, worst prim gap: 5.51, worst defi gap: 8.89:   5%|▌         | 26/500 [00:48<14:37,  1.85s/it]  
Epoch 26 | postive loss : 3724.48, negtive prim loss : 615.95, negtive defi loss : 751.39, worst lambd: 9565.62, worst prim gap: 4.02, worst defi gap: 8.02:   5%|▌         | 27/500 [00:50<14:34,  1.85s/it]
Epoch 27 | postive loss : 3567.67, negtive prim loss : 603.09, negtive defi loss : 736.67, worst lambd: 9218.82, worst prim gap: 2.91, worst defi gap: 6.51:   6%|▌         | 28/500 [00:52<14:32,  1.85s/it]
Epoch 28 | postive loss : 3422.43, negtive prim loss : 590.04, negtive defi loss : 721.28, worst lambd: 8857.92, worst prim gap: 2.65, worst defi gap: 3.72:   6%|▌         | 29/500 [00:53<14:30,  1.85s/it]
Epoch 29 | postive loss : 3287.05, negtive prim loss : 577.94, negtive defi loss : 706.92, worst lambd: 8641.05, worst prim gap: 3.45, worst defi gap: 7.35:   6%|▌         | 30/500 [00:55<14:29,  1.85s/it]
Epoch 30 | postive loss : 3160.93, negtive prim loss : 565.42, negtive defi loss : 692.77, worst lambd: 8415.14, worst prim gap: 2.75, worst defi gap: 4.05:   6%|▌         | 31/500 [00:57<14:27,  1.85s/it]
Epoch 31 | postive loss : 3042.86, negtive prim loss : 553.44, negtive defi loss : 678.94, worst lambd: 8019.07, worst prim gap: 2.81, worst defi gap: 4.51:   6%|▋         | 32/500 [00:59<14:24,  1.85s/it]
Epoch 32 | postive loss : 2932.06, negtive prim loss : 541.92, negtive defi loss : 665.12, worst lambd: 7860.48, worst prim gap: 1.22, worst defi gap: 2.68:   7%|▋         | 33/500 [01:01<14:23,  1.85s/it]
Epoch 33 | postive loss : 2828.16, negtive prim loss : 530.59, negtive defi loss : 652.10, worst lambd: 7540.48, worst prim gap: 1.25, worst defi gap: 3.51:   7%|▋         | 34/500 [01:03<14:21,  1.85s/it]
Epoch 34 | postive loss : 2729.96, negtive prim loss : 519.32, negtive defi loss : 638.86, worst lambd: 7390.74, worst prim gap: 0.94, worst defi gap: 1.92:   7%|▋         | 35/500 [01:05<14:18,  1.85s/it]
Epoch 35 | postive loss : 2637.22, negtive prim loss : 508.98, negtive defi loss : 626.85, worst lambd: 7109.86, worst prim gap: 0.76, worst defi gap: 2.62:   7%|▋         | 36/500 [01:06<14:17,  1.85s/it]
