
2023-03-15 20:54:32
alpha: 1    batchsize: 128    dim: 128    epoch: 500    gapMax_defi: -1    gapMax_prim: -0.5    lambdaMax: 0.2    learningrate: 0.002    lrdecay: 1    lrdecayEpoch: 250    modelname: SN2E    momentum: 0    negtsamplenum: 128    optimizer: Adam    vmax: 10    vmin: 0.1    weightdecay: 0    
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 1
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/500 [00:00<?, ?it/s]
Epoch 9 | postive loss : 6298.19, negtive loss : 6412.74, worst lambd: 9847.08, worst gap: 1081.90:   2%|▏         | 10/500 [00:05<04:27,  1.83it/s]
Epoch 19 | postive loss : 4994.27, negtive loss : 5140.18, worst lambd: 8198.90, worst gap: 935.00:   4%|▍         | 20/500 [00:10<04:21,  1.83it/s]
Epoch 29 | postive loss : 3985.44, negtive loss : 4142.36, worst lambd: 7662.94, worst gap: 695.46:   6%|▌         | 30/500 [00:16<04:13,  1.85it/s]
Epoch 39 | postive loss : 3188.24, negtive loss : 3347.24, worst lambd: 7571.39, worst gap: 559.94:   8%|▊         | 40/500 [00:21<04:06,  1.86it/s]
Epoch 49 | postive loss : 2551.60, negtive loss : 2705.52, worst lambd: 7450.33, worst gap: 424.07:  10%|█         | 50/500 [00:26<04:00,  1.87it/s]
Epoch 59 | postive loss : 2039.97, negtive loss : 2184.84, worst lambd: 7307.89, worst gap: 315.57:  12%|█▏        | 60/500 [00:32<03:54,  1.87it/s]
Epoch 69 | postive loss : 1627.51, negtive loss : 1761.00, worst lambd: 7165.56, worst gap: 222.88:  14%|█▍        | 70/500 [00:37<03:49,  1.87it/s]
Epoch 79 | postive loss : 1294.32, negtive loss : 1414.33, worst lambd: 6994.99, worst gap: 171.09:  16%|█▌        | 80/500 [00:42<03:44,  1.87it/s]
Epoch 89 | postive loss : 1025.26, negtive loss : 1133.80, worst lambd: 6821.47, worst gap: 125.15:  18%|█▊        | 90/500 [00:48<03:38,  1.88it/s]
Epoch 99 | postive loss : 808.16, negtive loss : 904.53, worst lambd: 6643.71, worst gap: 88.80:  20%|██        | 100/500 [00:53<03:33,  1.88it/s]  
Epoch 109 | postive loss : 633.38, negtive loss : 717.35, worst lambd: 6460.38, worst gap: 64.25:  22%|██▏       | 110/500 [00:58<03:28,  1.87it/s]
Epoch 119 | postive loss : 493.17, negtive loss : 565.70, worst lambd: 6268.42, worst gap: 46.91:  24%|██▍       | 120/500 [01:04<03:23,  1.87it/s]
Epoch 129 | postive loss : 381.24, negtive loss : 443.14, worst lambd: 6075.07, worst gap: 32.21:  26%|██▌       | 130/500 [01:09<03:17,  1.87it/s]
Epoch 139 | postive loss : 292.40, negtive loss : 344.82, worst lambd: 5876.58, worst gap: 21.45:  28%|██▊       | 140/500 [01:14<03:12,  1.87it/s]
Epoch 149 | postive loss : 222.37, negtive loss : 266.12, worst lambd: 5671.92, worst gap: 15.36:  30%|███       | 150/500 [01:20<03:07,  1.87it/s]
Epoch 159 | postive loss : 167.63, negtive loss : 203.78, worst lambd: 5462.44, worst gap: 10.69:  32%|███▏      | 160/500 [01:25<03:02,  1.87it/s]
Epoch 169 | postive loss : 125.21, negtive loss : 154.88, worst lambd: 5249.26, worst gap: 7.30:  34%|███▍      | 170/500 [01:30<02:56,  1.87it/s] 
Epoch 179 | postive loss : 92.70, negtive loss : 116.66, worst lambd: 5029.94, worst gap: 5.27:  36%|███▌      | 180/500 [01:36<02:50,  1.87it/s] 
Epoch 189 | postive loss : 68.06, negtive loss : 87.04, worst lambd: 4807.25, worst gap: 3.62:  38%|███▊      | 190/500 [01:41<02:46,  1.86it/s] 
Epoch 199 | postive loss : 49.60, negtive loss : 64.46, worst lambd: 4572.27, worst gap: 2.41:  40%|████      | 200/500 [01:47<02:40,  1.87it/s]
Epoch 209 | postive loss : 35.96, negtive loss : 47.50, worst lambd: 4337.37, worst gap: 1.66:  42%|████▏     | 210/500 [01:52<02:35,  1.87it/s]
Epoch 219 | postive loss : 26.00, negtive loss : 34.81, worst lambd: 4098.94, worst gap: 1.17:  44%|████▍     | 220/500 [01:57<02:29,  1.87it/s]
Epoch 229 | postive loss : 18.83, negtive loss : 25.37, worst lambd: 3856.39, worst gap: 0.95:  46%|████▌     | 230/500 [02:03<02:23,  1.88it/s]
Epoch 239 | postive loss : 13.71, negtive loss : 18.48, worst lambd: 3614.71, worst gap: 0.95:  48%|████▊     | 240/500 [02:08<02:18,  1.88it/s]
Epoch 249 | postive loss : 10.13, negtive loss : 13.54, worst lambd: 3376.81, worst gap: 0.94:  50%|█████     | 250/500 [02:13<02:12,  1.88it/s]
Epoch 259 | postive loss : 7.69, negtive loss : 10.02, worst lambd: 3129.35, worst gap: 0.92:  52%|█████▏    | 260/500 [02:18<02:07,  1.88it/s] 
Epoch 269 | postive loss : 6.09, negtive loss : 7.64, worst lambd: 2896.59, worst gap: 0.87:  54%|█████▍    | 270/500 [02:24<02:02,  1.88it/s] 
Epoch 279 | postive loss : 5.07, negtive loss : 6.07, worst lambd: 2660.35, worst gap: 0.90:  56%|█████▌    | 280/500 [02:29<01:56,  1.88it/s]
Epoch 289 | postive loss : 4.45, negtive loss : 5.00, worst lambd: 2435.82, worst gap: 0.89:  58%|█████▊    | 290/500 [02:34<01:51,  1.88it/s]
Epoch 299 | postive loss : 4.07, negtive loss : 4.33, worst lambd: 2223.61, worst gap: 0.85:  60%|██████    | 300/500 [02:40<01:46,  1.88it/s]
Epoch 309 | postive loss : 3.83, negtive loss : 3.92, worst lambd: 2013.83, worst gap: 0.86:  62%|██████▏   | 310/500 [02:45<01:40,  1.88it/s]
Epoch 319 | postive loss : 3.68, negtive loss : 3.68, worst lambd: 1820.40, worst gap: 0.76:  64%|██████▍   | 320/500 [02:50<01:35,  1.88it/s]
Epoch 329 | postive loss : 3.57, negtive loss : 3.51, worst lambd: 1637.53, worst gap: 0.77:  66%|██████▌   | 330/500 [02:56<01:30,  1.88it/s]
Epoch 339 | postive loss : 3.48, negtive loss : 3.38, worst lambd: 1469.25, worst gap: 0.72:  68%|██████▊   | 340/500 [03:01<01:25,  1.88it/s]
Epoch 349 | postive loss : 3.41, negtive loss : 3.32, worst lambd: 1309.39, worst gap: 0.68:  70%|███████   | 350/500 [03:06<01:19,  1.88it/s]
Epoch 359 | postive loss : 3.36, negtive loss : 3.27, worst lambd: 1163.61, worst gap: 0.72:  72%|███████▏  | 360/500 [03:12<01:14,  1.88it/s]
Epoch 369 | postive loss : 3.31, negtive loss : 3.24, worst lambd: 1029.77, worst gap: 0.63:  74%|███████▍  | 370/500 [03:17<01:09,  1.88it/s]
