
2023-03-20 11:49:32
alpha: 1    batchsize: 16    dim: 128    epoch: 1000    gapMax: 2    gapmode: gap    lambdaMax: 0.5    learningrate: 0.004    lrdecay: 0.5    lrdecayEpoch: 300    modelname: SN2E    momentum: 0    negtsamplenum: 128    optimizer: Adam    vmax: 1000    vmin: 0.001    weightdecay: 0    
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 0
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/1000 [00:00<?, ?it/s]
Epoch 4 | postive loss : 153.77, negtive loss : 49.54, worst lambd: 268.48, worst gap: 23.74:   0%|          | 5/1000 [00:07<23:21,  1.41s/it]
Epoch 9 | postive loss : 55.20, negtive loss : 18.71, worst lambd: 144.64, worst gap: 7.81:   1%|          | 10/1000 [00:13<22:11,  1.35s/it] 
Epoch 14 | postive loss : 16.07, negtive loss : 6.15, worst lambd: 82.21, worst gap: 1.90:   2%|▏         | 15/1000 [00:20<21:40,  1.32s/it] 
Epoch 19 | postive loss : 5.96, negtive loss : 3.53, worst lambd: 41.66, worst gap: 0.57:   2%|▏         | 20/1000 [00:26<21:20,  1.31s/it] 
Epoch 24 | postive loss : 3.57, negtive loss : 3.91, worst lambd: 30.92, worst gap: 0.11:   2%|▎         | 25/1000 [00:32<21:06,  1.30s/it]
Epoch 29 | postive loss : 2.16, negtive loss : 4.22, worst lambd: 42.51, worst gap: 0.03:   3%|▎         | 30/1000 [00:39<20:55,  1.29s/it]
Epoch 34 | postive loss : 1.54, negtive loss : 4.62, worst lambd: 28.18, worst gap: 0.03:   4%|▎         | 35/1000 [00:45<20:46,  1.29s/it]
Epoch 39 | postive loss : 1.39, negtive loss : 5.21, worst lambd: 13.91, worst gap: 0.02:   4%|▍         | 40/1000 [00:52<20:37,  1.29s/it]
Epoch 44 | postive loss : 1.27, negtive loss : 5.85, worst lambd: 9.20, worst gap: 0.02:   4%|▍         | 45/1000 [00:58<20:30,  1.29s/it] 
Epoch 49 | postive loss : 1.16, negtive loss : 6.49, worst lambd: 10.65, worst gap: 0.02:   5%|▌         | 50/1000 [01:04<20:22,  1.29s/it]
Epoch 54 | postive loss : 1.08, negtive loss : 7.12, worst lambd: 10.22, worst gap: 0.02:   6%|▌         | 55/1000 [01:11<20:15,  1.29s/it]
Epoch 59 | postive loss : 0.97, negtive loss : 7.69, worst lambd: 8.76, worst gap: 0.03:   6%|▌         | 60/1000 [01:17<20:09,  1.29s/it] 
Epoch 64 | postive loss : 0.91, negtive loss : 8.21, worst lambd: 7.70, worst gap: 0.01:   6%|▋         | 65/1000 [01:24<20:02,  1.29s/it]
Epoch 69 | postive loss : 0.88, negtive loss : 8.65, worst lambd: 7.11, worst gap: 0.03:   7%|▋         | 70/1000 [01:30<19:56,  1.29s/it]
Epoch 74 | postive loss : 0.81, negtive loss : 9.07, worst lambd: 8.17, worst gap: 0.01:   8%|▊         | 75/1000 [01:37<19:49,  1.29s/it]
Epoch 79 | postive loss : 0.82, negtive loss : 9.42, worst lambd: 9.42, worst gap: 0.01:   8%|▊         | 80/1000 [01:43<19:43,  1.29s/it]
Epoch 84 | postive loss : 0.79, negtive loss : 9.72, worst lambd: 9.25, worst gap: 0.01:   8%|▊         | 85/1000 [01:50<19:37,  1.29s/it]
Epoch 89 | postive loss : 0.76, negtive loss : 9.96, worst lambd: 12.50, worst gap: 0.03:   9%|▉         | 90/1000 [01:56<19:30,  1.29s/it]
Epoch 94 | postive loss : 0.73, negtive loss : 10.17, worst lambd: 7.07, worst gap: 0.03:  10%|▉         | 95/1000 [02:02<19:23,  1.29s/it]
Epoch 99 | postive loss : 0.72, negtive loss : 10.42, worst lambd: 7.30, worst gap: 0.02:  10%|█         | 100/1000 [02:09<19:17,  1.29s/it]
Epoch 104 | postive loss : 0.69, negtive loss : 10.58, worst lambd: 7.83, worst gap: 0.02:  10%|█         | 105/1000 [02:15<19:10,  1.29s/it]
Epoch 109 | postive loss : 0.72, negtive loss : 10.77, worst lambd: 7.73, worst gap: 0.01:  11%|█         | 110/1000 [02:22<19:04,  1.29s/it]
Epoch 114 | postive loss : 0.67, negtive loss : 10.95, worst lambd: 6.07, worst gap: 0.03:  12%|█▏        | 115/1000 [02:28<18:58,  1.29s/it]
Epoch 119 | postive loss : 0.65, negtive loss : 11.09, worst lambd: 6.79, worst gap: 0.03:  12%|█▏        | 120/1000 [02:34<18:50,  1.28s/it]
Epoch 124 | postive loss : 0.66, negtive loss : 11.23, worst lambd: 7.52, worst gap: 0.02:  12%|█▎        | 125/1000 [02:41<18:42,  1.28s/it]
Epoch 129 | postive loss : 0.66, negtive loss : 11.38, worst lambd: 10.75, worst gap: 0.02:  13%|█▎        | 130/1000 [02:47<18:35,  1.28s/it]
Epoch 134 | postive loss : 0.62, negtive loss : 11.51, worst lambd: 7.01, worst gap: 0.03:  14%|█▎        | 135/1000 [02:54<18:27,  1.28s/it] 
Epoch 139 | postive loss : 0.64, negtive loss : 11.64, worst lambd: 7.16, worst gap: 0.05:  14%|█▍        | 140/1000 [03:00<18:21,  1.28s/it]
Epoch 144 | postive loss : 0.62, negtive loss : 11.72, worst lambd: 6.41, worst gap: 0.03:  14%|█▍        | 145/1000 [03:06<18:13,  1.28s/it]
Epoch 149 | postive loss : 0.60, negtive loss : 11.84, worst lambd: 6.70, worst gap: 0.02:  15%|█▌        | 150/1000 [03:13<18:07,  1.28s/it]
Epoch 154 | postive loss : 0.59, negtive loss : 11.93, worst lambd: 9.57, worst gap: 0.02:  16%|█▌        | 155/1000 [03:19<18:01,  1.28s/it]
Epoch 159 | postive loss : 0.61, negtive loss : 12.03, worst lambd: 7.15, worst gap: 0.04:  16%|█▌        | 160/1000 [03:26<17:54,  1.28s/it]
Epoch 164 | postive loss : 0.56, negtive loss : 12.10, worst lambd: 8.15, worst gap: 0.04:  16%|█▋        | 165/1000 [03:32<17:47,  1.28s/it]
Epoch 169 | postive loss : 0.57, negtive loss : 12.17, worst lambd: 5.82, worst gap: 0.01:  17%|█▋        | 170/1000 [03:38<17:41,  1.28s/it]
Epoch 174 | postive loss : 0.58, negtive loss : 12.23, worst lambd: 10.17, worst gap: 0.05:  18%|█▊        | 175/1000 [03:45<17:34,  1.28s/it]
Epoch 179 | postive loss : 0.56, negtive loss : 12.32, worst lambd: 6.46, worst gap: 0.05:  18%|█▊        | 180/1000 [03:51<17:28,  1.28s/it] 
Epoch 184 | postive loss : 0.54, negtive loss : 12.39, worst lambd: 5.28, worst gap: 0.06:  18%|█▊        | 185/1000 [03:58<17:22,  1.28s/it]
Epoch 189 | postive loss : 0.55, negtive loss : 12.47, worst lambd: 6.15, worst gap: 0.02:  19%|█▉        | 190/1000 [04:04<17:15,  1.28s/it]
Epoch 194 | postive loss : 0.53, negtive loss : 12.54, worst lambd: 11.24, worst gap: 0.04:  20%|█▉        | 195/1000 [04:10<17:09,  1.28s/it]
Epoch 199 | postive loss : 0.52, negtive loss : 12.57, worst lambd: 5.20, worst gap: 0.06:  20%|██        | 200/1000 [04:17<17:03,  1.28s/it] 
Epoch 204 | postive loss : 0.52, negtive loss : 12.66, worst lambd: 4.54, worst gap: 0.07:  20%|██        | 205/1000 [04:23<16:56,  1.28s/it]
Epoch 209 | postive loss : 0.52, negtive loss : 12.69, worst lambd: 6.04, worst gap: 0.02:  21%|██        | 210/1000 [04:30<16:50,  1.28s/it]
Epoch 214 | postive loss : 0.51, negtive loss : 12.73, worst lambd: 4.77, worst gap: 0.05:  22%|██▏       | 215/1000 [04:36<16:43,  1.28s/it]
Epoch 219 | postive loss : 0.51, negtive loss : 12.77, worst lambd: 5.12, worst gap: 0.06:  22%|██▏       | 220/1000 [04:42<16:37,  1.28s/it]
Epoch 224 | postive loss : 0.49, negtive loss : 12.82, worst lambd: 9.85, worst gap: 0.01:  22%|██▎       | 225/1000 [04:49<16:31,  1.28s/it]
Epoch 229 | postive loss : 0.50, negtive loss : 12.84, worst lambd: 5.76, worst gap: 0.06:  23%|██▎       | 230/1000 [04:55<16:28,  1.28s/it]
Epoch 234 | postive loss : 0.49, negtive loss : 12.88, worst lambd: 7.68, worst gap: 0.05:  24%|██▎       | 235/1000 [05:02<16:23,  1.29s/it]
Epoch 239 | postive loss : 0.48, negtive loss : 12.87, worst lambd: 4.58, worst gap: 0.04:  24%|██▍       | 240/1000 [05:08<16:18,  1.29s/it]
Epoch 244 | postive loss : 0.47, negtive loss : 12.89, worst lambd: 4.86, worst gap: 0.04:  24%|██▍       | 245/1000 [05:15<16:13,  1.29s/it]
Epoch 249 | postive loss : 0.46, negtive loss : 12.88, worst lambd: 3.73, worst gap: 0.05:  25%|██▌       | 250/1000 [05:21<16:06,  1.29s/it]
Epoch 254 | postive loss : 0.46, negtive loss : 12.90, worst lambd: 5.06, worst gap: 0.10:  26%|██▌       | 255/1000 [05:27<15:58,  1.29s/it]
Epoch 259 | postive loss : 0.47, negtive loss : 12.91, worst lambd: 6.02, worst gap: 0.03:  26%|██▌       | 260/1000 [05:34<15:51,  1.29s/it]
Epoch 264 | postive loss : 0.46, negtive loss : 12.92, worst lambd: 5.25, worst gap: 0.09:  26%|██▋       | 265/1000 [05:40<15:44,  1.28s/it]
Epoch 269 | postive loss : 0.46, negtive loss : 12.95, worst lambd: 7.27, worst gap: 0.09:  27%|██▋       | 270/1000 [05:47<15:37,  1.28s/it]
Epoch 274 | postive loss : 0.46, negtive loss : 12.95, worst lambd: 4.43, worst gap: 0.07:  28%|██▊       | 275/1000 [05:53<15:30,  1.28s/it]
Epoch 279 | postive loss : 0.46, negtive loss : 12.97, worst lambd: 8.41, worst gap: 0.10:  28%|██▊       | 280/1000 [06:00<15:23,  1.28s/it]
Epoch 284 | postive loss : 0.44, negtive loss : 12.94, worst lambd: 3.56, worst gap: 0.09:  28%|██▊       | 285/1000 [06:06<15:17,  1.28s/it]
Epoch 289 | postive loss : 0.43, negtive loss : 12.96, worst lambd: 5.03, worst gap: 0.11:  29%|██▉       | 290/1000 [06:12<15:11,  1.28s/it]
Epoch 294 | postive loss : 0.44, negtive loss : 12.98, worst lambd: 2.61, worst gap: 0.09:  30%|██▉       | 295/1000 [06:19<15:05,  1.28s/it]
Epoch 299 | postive loss : 0.44, negtive loss : 12.96, worst lambd: 6.35, worst gap: 0.13:  30%|███       | 300/1000 [06:25<14:59,  1.28s/it]
Epoch 304 | postive loss : 0.34, negtive loss : 13.00, worst lambd: 1.89, worst gap: 0.06:  30%|███       | 305/1000 [06:32<14:52,  1.28s/it]
Epoch 309 | postive loss : 0.32, negtive loss : 13.08, worst lambd: 1.69, worst gap: 0.05:  31%|███       | 310/1000 [06:38<14:46,  1.29s/it]
Epoch 314 | postive loss : 0.33, negtive loss : 13.14, worst lambd: 1.62, worst gap: 0.11:  32%|███▏      | 315/1000 [06:45<14:40,  1.29s/it]
Epoch 319 | postive loss : 0.33, negtive loss : 13.22, worst lambd: 1.46, worst gap: 0.07:  32%|███▏      | 320/1000 [06:51<14:34,  1.29s/it]
